,Word,Title Frequency
781,main,2
782,offices,2
783,number,2
784,arrest,2
785,criticizes,2
786,destruction,2
787,making,2
788,lawmaker,2
789,beirut,2
790,stage,2
791,question,2
792,ruin,2
793,deadline,2
794,economy,2
795,shrinks,2
796,closures,2
797,hould,2
798,distancing,2
799,ditches,2
800,reveal,2
801,loser,2
802,sentenced,2
803,conquer,2
804,considers,2
805,fined,2
806,chokehold,2
807,arrests,2
808,hints,2
809,scraps,2
810,bastille,2
811,demonstration,2
812,draws,2
813,hands,2
814,loses,2
815,alleged,2
816,sound,2
817,lonely,2
818,shutdown,2
819,epidemic,2
820,democratic,2
821,unity,2
822,education,2
823,tests,2
824,positive,2
825,fails,2
826,level,2
827,confirms,2
828,kicks,2
829,account,2
830,website,2
831,thinks,2
832,winning,2
833,forced,2
834,truce,2
835,playing,2
836,discontent,2
837,count,2
838,overhaul,2
839,process,2
840,mark,2
841,worse,2
842,liberals,2
843,starring,2
844,finger,2
845,internal,2
846,failures,2
847,rest,2
848,sarko,2
849,breaks,2
850,friendship,2
851,tree,2
852,rich,2
853,alliance,2
854,repay,2
855,endgame,2
856,ballot,2
857,euroskeptic,2
858,freeze,2
859,fundraising,2
860,adviser,2
861,reaches,2
862,tech,2
863,officials,2
864,extreme,2
865,open,2
866,street,2
867,champion,2
868,lifts,2
869,cdu,2
870,renaissance,2
871,expect,2
872,munich,2
873,loss,2
874,dispute,2
875,bardot,2
876,lays,2
877,matteo,2
878,blames,2
879,mercron,2
880,fury,2
881,prison,2
882,dozens,2
883,arrested,2
884,davos,2
885,maio,2
886,picks,2
887,stories,2
888,passport,2
889,troubles,2
890,shot,2
891,calm,2
892,economic,2
893,lock,2
894,video,2
895,taxing,2
896,turn,2
897,riot,2
898,acting,2
899,motorist,2
900,royal,2
901,blasts,2
902,looms,2
903,slip,2
904,latest,2
905,opinion,2
906,result,2
907,sons,2
908,saudi,2
909,prince,2
910,sale,2
911,tells,2
912,machine,2
913,control,2
914,forces,2
915,hand,2
916,barcelona,2
917,plummets,2
918,ordered,2
919,€k,2
920,calling,2
921,cheer,2
922,popular,2
923,departure,2
924,bump,2
925,plot,2
926,shock,2
927,transfer,2
928,star,2
929,survives,2
930,confidence,2
931,ice,2
932,manu,2
933,beatle,2
934,continent,2
935,direction,2
936,showdown,2
937,era,2
938,pack,2
939,bridge,2
940,half,2
941,seek,2
942,premier,2
943,ngo,2
944,train,2
945,grinds,2
946,governing,2
947,guilty,2
948,prize,2
949,australian,2
950,deliciou,2
951,distance,2
952,chance,2
953,rebellion,2
954,study,2
955,olivier,2
956,faure,2
957,upholds,2
958,républicains,2
959,supermarket,2
960,wake,2
961,renaming,2
962,proposes,2
963,revenge,2
964,northern,2
965,values,2
966,policies,2
967,divides,2
968,vestager,2
969,falls,2
970,deep,2
971,appeals,2
972,flirtation,2
973,unsettles,2
974,jong,2
975,gambit,2
976,boosts,2
977,mass,2
978,brawl,2
979,pledge,2
980,raise,2
981,wave,2
982,winners,2
983,losers,2
984,delays,2
985,mayday,2
986,israel,2
987,door,2
988,smile,2
989,task,2
990,force,2
991,charm,2
992,collapse,2
993,silicon,2
994,valley,2
995,seine,2
996,stripped,2
997,bonds,2
998,léglise,2
999,beat,2
1000,signs,2
1001,florian,2
1002,philippot,2
1003,gate,2
1004,predicts,2
1005,pitch,2
1006,shipyard,2
1007,heads,2
1008,rentrée,2
1009,jeremy,2
1010,corbyn,2
1011,unemployment,2
1012,episode,2
1013,makeover,2
1014,months,2
1015,reveals,2
1016,role,2
1017,rebel,2
1018,korea,2
1019,contest,2
1020,mirror,2
1021,martin,2
1022,avoid,2
1023,soul,2
1024,lashes,2
1025,agree,2
1026,mano,2
1027,tête,2
1028,shape,2
1029,obstacles,2
1030,independence,2
1031,dreams,2
1032,hamburg,2
