,Word,Title Frequency,Word Frequency,,Class
669,présidentiel,3,3,2442,
670,endorses,3,0,2815,
671,fast,3,64,919,
672,fear,3,106,607,
673,campagne,3,22,1561,
674,tour,3,43,1156,
675,percée,3,3,2442,
676,penelope,3,65,912,
677,attacked,3,67,893,
678,path,3,56,1002,
679,isil,3,66,902,
680,affaire,3,7,2174,
681,rival,3,232,278,
682,momentum,3,74,817,
683,lagarde,3,27,1449,
684,legion,3,10,2001,
685,droite,3,14,1834,
686,card,3,26,1475,
687,panic,3,16,1759,
688,muslim,3,212,305,
689,uber,3,37,1247,
690,taxi,3,48,1112,
691,terms,2,151,447,
692,jewish,2,54,1023,
693,navalny,2,22,1561,
694,india,2,11,1946,
695,cut,2,114,577,
696,troops,2,64,919,
697,age,2,178,377,
698,consent,2,23,1536,
699,citizens,2,269,226,
700,stands,2,64,919,
701,raises,2,21,1602,
702,secular,2,32,1335,
703,probes,2,14,1834,
704,dinner,2,57,987,
705,meetings,2,116,570,
706,extends,2,4,2365,
707,nationwide,2,53,1042,
708,blind,2,22,1561,
709,sluggish,2,9,2050,
710,astrazeneca,2,20,1644,
711,mulls,2,2,2541,
712,digital,2,97,644,
713,conviction,2,26,1475,
714,citizen,2,96,653,
715,pits,2,2,2541,
716,meals,2,11,1946,
717,eurostar,2,9,2050,
718,islamo,2,15,1794,
719,leftist,2,89,694,
720,assembly,2,212,305,
721,meant,2,122,539,
722,ambitions,2,52,1060,
723,sciences,2,84,728,
724,opponents,2,137,485,
725,comment,2,146,462,
726,mckinsey,2,48,1112,
727,gang,2,14,1834,
728,finds,2,22,1561,
729,countries,2,600,69,
730,relationship,2,217,297,
731,sales,2,36,1258,
732,lose,2,139,481,
733,issues,2,325,172,
734,hopes,2,73,831,
735,rattle,2,2,2541,
736,rollout,2,15,1794,
737,mind,2,102,626,
738,gérald,2,49,1098,
739,darmanin,2,191,349,
740,risky,2,19,1673,
741,semitic,2,35,1278,
742,lunch,2,64,919,
743,award,2,9,2050,
744,environmental,2,85,720,
745,combat,2,45,1138,
746,gay,2,53,1042,
747,tank,2,54,1023,
